10011de5	Sin datos suficientes	Not enough data yet
17123ae5	Free	Free
17cb7bee	Mes	Month
184d43dd	Conversión búsqueda-acción (CTR)	Search-to-Action (CTR)
1d53a9b2	Mercado social	Social Market
24c87f96	Palabra top del nicho	Top niche keyword
26dc12d4	Para garantizar la máxima precisión y fluidez de los datos de mercado en tiempo real, el Radar se despliega en una interfaz inmersiva de pantalla completa.	To deliver maximum accuracy and fluidity for live market intelligence, the Radar runs in a full-screen immersive interface.
297c2514	Mapbox y capas de intención en tu navegador, con la superficie que merecen.	Mapbox and intent layers open in your browser at the scale they deserve.
35e406b8	Cuando el mercado reúna búsquedas del nicho, verás aquí una palabra que aún no usas.	When the marketplace has enough niche searches, a missing keyword will appear here.
3ae97d7a	Lista para pegar en Gmail u Outlook como diseño con formato (no como código fuente). En Gmail: Ajustes → Ver todos los ajustes de correo → Firma.	Ready to paste into Gmail or Outlook as rich formatted layout (not source code). In Gmail: Settings → See all settings → Signature.
44440af9	No se pudo abrir el navegador	Could not open the browser
45f8db43	No se pudo enviar	Could not send
465dca95	Año	Year
46b7c2a2	Tarjeta no disponible	Card unavailable
46e488e3	CRÍTICO	CRITICAL
4da74164	Enviarme firma por correo	Email me my signature
4f1600c5	Plan	Plan
4fefe119	Modo explorador: estás viendo la demanda en otra zona.	Explorer mode: you are viewing demand in another area.
5b46a971	Mostrar menos	Show less
5c7b2764	Solo texto copiado	Plain text only
5db0eb3	Copiar firma (Gmail / Outlook)	Copy signature (Gmail / Outlook)
5db637a3	Rendimiento de SEO local y CRO	Local SEO & CRO performance
5fcaff79	Métrica (una sola para todas las filas): conversión de búsqueda a acción — CTR.	Metric (same for each row below): search-to-action conversion — CTR.
61b7c95e	Te enviamos tu firma. Ábrela en la computadora, selecciona el bloque visual (logo y QR) y cópiala en los ajustes de firma de Gmail u Outlook Web.	We emailed your signature. Open it on a computer, select the visual block (logo and QR), then paste it into Gmail or Outlook Web signature settings.
65b5e37d	Conversiones desde búsqueda (SEO)	Search-driven conversions (SEO)
6681d767	Añade IconoDatas en esta tarjeta para ver qué elementos reciben más toques.	Add IconoDatas to this card to see what people tap most.
6878ed80	Activa desde	Active since
68fb4c59	No se pudo actualizar el Mercado Social	Could not update Social Market
6a662e2c	Semana	Week
